(pytorch_p36) ubuntu@ip-172-30-0-91:~/P1_Facial_Keypoints-master$ python train.py 
Net(
  (conv1): Conv2d(1, 32, kernel_size=(5, 5), stride=(1, 1))
  (conv1_bn): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv1_drop): Dropout2d(p=0.1)
  (conv2): Conv2d(32, 48, kernel_size=(5, 5), stride=(1, 1))
  (conv2_bn): BatchNorm2d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2_drop): Dropout2d(p=0.1)
  (conv3): Conv2d(48, 64, kernel_size=(5, 5), stride=(1, 1))
  (conv3_bn): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3_drop): Dropout2d(p=0.2)
  (conv4): Conv2d(64, 96, kernel_size=(5, 5), stride=(1, 1))
  (conv4_bn): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv4_drop): Dropout2d(p=0.2)
  (fc1): Linear(in_features=9600, out_features=2400, bias=True)
  (fc1_bn): BatchNorm1d(2400, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc1_drop): Dropout(p=0.2)
  (fc2): Linear(in_features=2400, out_features=612, bias=True)
  (fc2_bn): BatchNorm1d(612, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc2_drop): Dropout(p=0.4)
  (fc3): Linear(in_features=612, out_features=136, bias=True)
)

Number of images:  3462
0 torch.Size([1, 224, 224]) torch.Size([68, 2])
Epoch: 10, Batch: 10, Avg. Loss: 0.0014577945843338967
Epoch: 10, Batch: 20, Avg. Loss: 0.0017367395609617234
Epoch: 10, Batch: 30, Avg. Loss: 0.001821676455438137
Epoch: 10, Batch: 40, Avg. Loss: 0.0014286450371146203
Epoch: 10, Batch: 50, Avg. Loss: 0.001618627555668354
Epoch: 10, Batch: 60, Avg. Loss: 0.00165378887206316
Epoch: 10, Batch: 70, Avg. Loss: 0.001744583286345005
Epoch: 10, Batch: 80, Avg. Loss: 0.0016683682426810265
Epoch: 10, Batch: 90, Avg. Loss: 0.0014756309986114502
Epoch: 10, Batch: 100, Avg. Loss: 0.0015142844095826149
Epoch: 11, Batch: 10, Avg. Loss: 0.0019383225440979003
Epoch: 11, Batch: 20, Avg. Loss: 0.0016411847770214081
Epoch: 11, Batch: 30, Avg. Loss: 0.0015911076143383979
Epoch: 11, Batch: 40, Avg. Loss: 0.0013504514619708061
Epoch: 11, Batch: 50, Avg. Loss: 0.0013083897978067398
Epoch: 11, Batch: 60, Avg. Loss: 0.0019022523313760758
Epoch: 11, Batch: 70, Avg. Loss: 0.0014000238254666328
Epoch: 11, Batch: 80, Avg. Loss: 0.0014267468452453613
Epoch: 11, Batch: 90, Avg. Loss: 0.001349792204797268
Epoch: 11, Batch: 100, Avg. Loss: 0.0015562790259718894
Epoch: 12, Batch: 10, Avg. Loss: 0.0014648182317614556
Epoch: 12, Batch: 20, Avg. Loss: 0.0018516365066170693
Epoch: 12, Batch: 30, Avg. Loss: 0.0016366365849971771
Epoch: 12, Batch: 40, Avg. Loss: 0.0013743528798222542
Epoch: 12, Batch: 50, Avg. Loss: 0.001839774303138256
Epoch: 12, Batch: 60, Avg. Loss: 0.0015257769525051116
Epoch: 12, Batch: 70, Avg. Loss: 0.0014523265436291696
Epoch: 12, Batch: 80, Avg. Loss: 0.001332045003771782
Epoch: 12, Batch: 90, Avg. Loss: 0.0018229793310165405
Epoch: 12, Batch: 100, Avg. Loss: 0.0013808635100722314
Epoch: 13, Batch: 10, Avg. Loss: 0.0022899163886904716
Epoch: 13, Batch: 20, Avg. Loss: 0.0015568882524967193
Epoch: 13, Batch: 30, Avg. Loss: 0.0012721427083015441
Epoch: 13, Batch: 40, Avg. Loss: 0.001380298227071762
Epoch: 13, Batch: 50, Avg. Loss: 0.001297543428838253
Epoch: 13, Batch: 60, Avg. Loss: 0.0017023760601878166
Epoch: 13, Batch: 70, Avg. Loss: 0.0014722840487957
Epoch: 13, Batch: 80, Avg. Loss: 0.0013863664716482163
Epoch: 13, Batch: 90, Avg. Loss: 0.0013638431206345557
Epoch: 13, Batch: 100, Avg. Loss: 0.001243456020951271
Epoch: 14, Batch: 10, Avg. Loss: 0.0015354203656315804
Epoch: 14, Batch: 20, Avg. Loss: 0.0014428849518299102
Epoch: 14, Batch: 30, Avg. Loss: 0.001400110624730587
Epoch: 14, Batch: 40, Avg. Loss: 0.001395945705473423
Epoch: 14, Batch: 50, Avg. Loss: 0.001393367998301983
Epoch: 14, Batch: 60, Avg. Loss: 0.0012506043910980225
Epoch: 14, Batch: 70, Avg. Loss: 0.0013716343715786934
Epoch: 14, Batch: 80, Avg. Loss: 0.0012628646492958068
Epoch: 14, Batch: 90, Avg. Loss: 0.0012020741701126098
Epoch: 14, Batch: 100, Avg. Loss: 0.0015170981362462044
Epoch: 15, Batch: 10, Avg. Loss: 0.0011850289702415467
Epoch: 15, Batch: 20, Avg. Loss: 0.0012993078753352166
Epoch: 15, Batch: 30, Avg. Loss: 0.0013152340576052667
Epoch: 15, Batch: 40, Avg. Loss: 0.0013842267468571663
Epoch: 15, Batch: 50, Avg. Loss: 0.0014133740812540055
Epoch: 15, Batch: 60, Avg. Loss: 0.0012827043309807777
Epoch: 15, Batch: 70, Avg. Loss: 0.0012475538179278374
Epoch: 15, Batch: 80, Avg. Loss: 0.0014665026888251306
Epoch: 15, Batch: 90, Avg. Loss: 0.0012815856784582139
Epoch: 15, Batch: 100, Avg. Loss: 0.0017872518226504325
Epoch: 16, Batch: 10, Avg. Loss: 0.0014695298001170158
Epoch: 16, Batch: 20, Avg. Loss: 0.001210397206246853
Epoch: 16, Batch: 30, Avg. Loss: 0.0013750029504299164
Epoch: 16, Batch: 40, Avg. Loss: 0.0011094192489981651
Epoch: 16, Batch: 50, Avg. Loss: 0.0012906457036733628
Epoch: 16, Batch: 60, Avg. Loss: 0.0012130087241530418
Epoch: 16, Batch: 70, Avg. Loss: 0.0014315148890018464
Epoch: 16, Batch: 80, Avg. Loss: 0.0013270672559738158
Epoch: 16, Batch: 90, Avg. Loss: 0.0017273859307169914
Epoch: 16, Batch: 100, Avg. Loss: 0.0013188523873686791
Epoch: 17, Batch: 10, Avg. Loss: 0.0013465086743235587
Epoch: 17, Batch: 20, Avg. Loss: 0.001464268498122692
Epoch: 17, Batch: 30, Avg. Loss: 0.0011777168512344361
Epoch: 17, Batch: 40, Avg. Loss: 0.0015239525064826012
Epoch: 17, Batch: 50, Avg. Loss: 0.001519956335425377
Epoch: 17, Batch: 60, Avg. Loss: 0.0012183406352996827
Epoch: 17, Batch: 70, Avg. Loss: 0.001266462154686451
Epoch: 17, Batch: 80, Avg. Loss: 0.0013143891170620918
Epoch: 17, Batch: 90, Avg. Loss: 0.00112354576587677
Epoch: 17, Batch: 100, Avg. Loss: 0.0011229817569255829
Epoch: 18, Batch: 10, Avg. Loss: 0.0013038397058844566
Epoch: 18, Batch: 20, Avg. Loss: 0.0012320065349340438
Epoch: 18, Batch: 30, Avg. Loss: 0.0011521342396736145
Epoch: 18, Batch: 40, Avg. Loss: 0.0012365315333008767
Epoch: 18, Batch: 50, Avg. Loss: 0.0012460856884717942
Epoch: 18, Batch: 60, Avg. Loss: 0.001196334294974804
Epoch: 18, Batch: 70, Avg. Loss: 0.0013066417798399926
Epoch: 18, Batch: 80, Avg. Loss: 0.0010809445828199387
Epoch: 18, Batch: 90, Avg. Loss: 0.001271876133978367
Epoch: 18, Batch: 100, Avg. Loss: 0.001136233426630497
Epoch: 19, Batch: 10, Avg. Loss: 0.0012866480723023415
Epoch: 19, Batch: 20, Avg. Loss: 0.0013847199007868767
Epoch: 19, Batch: 30, Avg. Loss: 0.001455038882791996
Epoch: 19, Batch: 40, Avg. Loss: 0.0012140522748231887
Epoch: 19, Batch: 50, Avg. Loss: 0.0011562591567635537
Epoch: 19, Batch: 60, Avg. Loss: 0.0011289916485548019
Epoch: 19, Batch: 70, Avg. Loss: 0.0012494542822241784
Epoch: 19, Batch: 80, Avg. Loss: 0.0010963857918977738
Epoch: 19, Batch: 90, Avg. Loss: 0.0011047238633036614
Epoch: 19, Batch: 100, Avg. Loss: 0.0013370135575532913
Epoch: 20, Batch: 10, Avg. Loss: 0.0015126399919390679
Epoch: 20, Batch: 20, Avg. Loss: 0.0012220289334654807
Epoch: 20, Batch: 30, Avg. Loss: 0.0010509349107742309
Epoch: 20, Batch: 40, Avg. Loss: 0.001169869251549244
Epoch: 20, Batch: 50, Avg. Loss: 0.001531498372554779
Epoch: 20, Batch: 60, Avg. Loss: 0.001144587941467762
Epoch: 20, Batch: 70, Avg. Loss: 0.0011858116909861565
Epoch: 20, Batch: 80, Avg. Loss: 0.0010904637724161149
Epoch: 20, Batch: 90, Avg. Loss: 0.0010398098975419998
Epoch: 20, Batch: 100, Avg. Loss: 0.0016695418283343315
Epoch: 21, Batch: 10, Avg. Loss: 0.0011180704385042191
Epoch: 21, Batch: 20, Avg. Loss: 0.001315571255981922
Epoch: 21, Batch: 30, Avg. Loss: 0.001275022968649864
Epoch: 21, Batch: 40, Avg. Loss: 0.0012513670101761817
Epoch: 21, Batch: 50, Avg. Loss: 0.0013039114624261857
Epoch: 21, Batch: 60, Avg. Loss: 0.00121938556432724
Epoch: 21, Batch: 70, Avg. Loss: 0.001062534786760807
Epoch: 21, Batch: 80, Avg. Loss: 0.0011061160489916802
Epoch: 21, Batch: 90, Avg. Loss: 0.0011358070969581604
Epoch: 21, Batch: 100, Avg. Loss: 0.0011721107363700867
Epoch: 22, Batch: 10, Avg. Loss: 0.0018453257977962493
Epoch: 22, Batch: 20, Avg. Loss: 0.0011851386576890945
Epoch: 22, Batch: 30, Avg. Loss: 0.0011590961515903473
Epoch: 22, Batch: 40, Avg. Loss: 0.001092544049024582
Epoch: 22, Batch: 50, Avg. Loss: 0.0011699724793434144
Epoch: 22, Batch: 60, Avg. Loss: 0.0011002397313714027
Epoch: 22, Batch: 70, Avg. Loss: 0.0012227697893977165
Epoch: 22, Batch: 80, Avg. Loss: 0.0010556573197245598
Epoch: 22, Batch: 90, Avg. Loss: 0.0011167172268033028
Epoch: 22, Batch: 100, Avg. Loss: 0.0011346339061856269
Epoch: 23, Batch: 10, Avg. Loss: 0.0011214311793446541
Epoch: 23, Batch: 20, Avg. Loss: 0.0010678944587707519
Epoch: 23, Batch: 30, Avg. Loss: 0.0011387041360139847
Epoch: 23, Batch: 40, Avg. Loss: 0.0012941883206367493
Epoch: 23, Batch: 50, Avg. Loss: 0.0011614600270986558
Epoch: 23, Batch: 60, Avg. Loss: 0.0010652246102690697
Epoch: 23, Batch: 70, Avg. Loss: 0.001267441749572754
Epoch: 23, Batch: 80, Avg. Loss: 0.0011832120344042777
Epoch: 23, Batch: 90, Avg. Loss: 0.001059140034019947
Epoch: 23, Batch: 100, Avg. Loss: 0.00113146061450243
Epoch: 24, Batch: 10, Avg. Loss: 0.001028584562242031
Epoch: 24, Batch: 20, Avg. Loss: 0.0010025665163993836
Epoch: 24, Batch: 30, Avg. Loss: 0.0010873326659202576
Epoch: 24, Batch: 40, Avg. Loss: 0.001238392911851406
Epoch: 24, Batch: 50, Avg. Loss: 0.001245782345533371
Epoch: 24, Batch: 60, Avg. Loss: 0.0010499727502465248
Epoch: 24, Batch: 70, Avg. Loss: 0.0009420232325792312
Epoch: 24, Batch: 80, Avg. Loss: 0.0011560989022254943
Epoch: 24, Batch: 90, Avg. Loss: 0.001157554030418396
Epoch: 24, Batch: 100, Avg. Loss: 0.0010537760108709335
Epoch: 25, Batch: 10, Avg. Loss: 0.001041681446135044
Epoch: 25, Batch: 20, Avg. Loss: 0.0009576042369008064
Epoch: 25, Batch: 30, Avg. Loss: 0.001033257007598877
Epoch: 25, Batch: 40, Avg. Loss: 0.0010502713769674301
